拍數(Beat)   | 時間(Time)     | 強度(Strength)    | 狀態(Status)
------------------------------------------------------------
8          | 5.364s       | 0.000           |    ...
9          | 5.944s       | 0.137           |    ...
10         | 6.525s       | 0.121           |    ...
11         | 7.105s       | 0.108           |    ...
12         | 7.686s       | 0.085           |    ...
13         | 8.255s       | 0.101           |    ...
14         | 8.824s       | 0.059           |    ...
15         | 9.392s       | 0.086           |    ...
16         | 9.892s       | 0.108           |    ...
17         | 10.461s       | 0.296           |    ...
17         | 11.018s       | 0.391           |    ...
18         | 11.622s       | 0.168           |    ...
19         | 12.225s       | 0.097           |    ...
20         | 12.841s       | 0.091           |    ...
21         | 13.456s       | 0.107           |    ...
22         | 14.071s       | 0.103           |    ...
23         | 14.687s       | 0.092           |    ...
24         | 15.302s       | 0.091           |    ...
25         | 15.917s       | 0.083           |    ...
26         | 16.533s       | 0.090           |    ...
27         | 17.148s       | 0.075           |    ...
28         | 17.763s       | 0.093           |    ...
29         | 18.379s       | 0.073           |    ...
30         | 18.994s       | 0.099           |    ...
31         | 19.609s       | 0.069           |    ...
32         | 20.225s       | 0.083           |    ...
33         | 20.840s       | 0.077           |    ...
34         | 21.455s       | 0.089           |    ...
35         | 22.071s       | 0.067           |    ...
36         | 22.686s       | 0.066           |    ...
37         | 23.301s       | 0.070           |    ...
38         | 23.917s       | 0.072           |    ...
39         | 24.532s       | 0.099           |    ...
40         | 25.147s       | 0.068           |    ...
41         | 25.763s       | 0.090           |    ...
42         | 26.285s       | 1.000           | ⬤ HIT (出球)
43         | 26.784s       | 0.748           | ⬤ HIT (出球)
44         | 27.458s       | 0.087           |    ...
45         | 28.131s       | 0.053           |    ...
46         | 28.804s       | 0.062           |    ...
47         | 29.478s       | 0.060           |    ...
48         | 30.140s       | 0.065           |    ...
50         | 30.766s       | 0.217           |    ...
51         | 31.393s       | 0.219           |    ...
52         | 32.009s       | 0.178           |    ...
53         | 32.624s       | 0.224           |    ...
54         | 33.239s       | 0.203           |    ...
55         | 33.855s       | 0.202           |    ...
56         | 34.470s       | 0.257           |    ...
57         | 35.085s       | 0.251           |    ...
58         | 35.701s       | 0.222           |    ...
59         | 36.304s       | 0.244           |    ...
60         | 36.955s       | 0.358           |    ...
61         | 37.547s       | 0.252           |    ...
62         | 38.174s       | 0.434           |    ...
63         | 38.812s       | 0.341           |    ...
64         | 39.404s       | 0.288           |    ...
64         | 39.892s       | 0.270           |    ...
65         | 40.333s       | 0.268           |    ...
66         | 40.948s       | 0.302           |    ...
67         | 41.575s       | 0.294           |    ...
68         | 42.191s       | 0.282           |    ...
69         | 42.818s       | 0.364           |    ...
70         | 43.445s       | 0.434           |    ...
71         | 44.060s       | 0.425           |    ...
72         | 44.675s       | 0.488           |    ...
73         | 45.302s       | 0.505           | ⬤ HIT (出球)
74         | 45.906s       | 0.460           |    ...
75         | 46.510s       | 0.500           |    ...
76         | 47.137s       | 0.414           |    ...
77         | 47.752s       | 0.558           | ⬤ HIT (出球)
78         | 48.367s       | 0.528           | ⬤ HIT (出球)
79         | 48.982s       | 0.478           |    ...
80         | 49.586s       | 0.464           |    ...
81         | 50.062s       | 0.486           |    ...
82         | 50.550s       | 0.326           |    ...
83         | 51.154s       | 0.483           |    ...
84         | 51.757s       | 0.324           |    ...
85         | 52.373s       | 0.497           |    ...
86         | 53.034s       | 0.544           | ⬤ HIT (出球)
87         | 53.638s       | 0.410           |    ...
88         | 54.242s       | 0.455           |    ...
89         | 54.857s       | 0.464           |    ...
90         | 55.496s       | 0.431           |    ...
91         | 56.099s       | 0.448           |    ...
92         | 56.726s       | 0.507           | ⬤ HIT (出球)
93         | 57.330s       | 0.441           |    ...
94         | 57.934s       | 0.528           | ⬤ HIT (出球)
95         | 58.572s       | 0.531           | ⬤ HIT (出球)
96         | 59.188s       | 0.623           | ⬤ HIT (出球)
97         | 59.803s       | 0.473           |    ...
98         | 60.430s       | 0.487           |    ...
99         | 61.045s       | 0.426           |    ...
100        | 61.661s       | 0.399           |    ...
101        | 62.288s       | 0.454           |    ...
102        | 62.914s       | 0.472           |    ...
103        | 63.507s       | 0.514           | ⬤ HIT (出球)
104        | 64.110s       | 0.414           |    ...
105        | 64.760s       | 0.482           |    ...
106        | 65.376s       | 0.402           |    ...
107        | 65.852s       | 0.369           |    ...
107        | 66.316s       | 0.266           |    ...
108        | 66.862s       | 0.476           |    ...
109        | 67.489s       | 0.556           | ⬤ HIT (出球)
110        | 68.127s       | 0.432           |    ...
111        | 68.766s       | 0.436           |    ...
112        | 69.404s       | 0.449           |    ...
113        | 70.020s       | 0.485           |    ...
114        | 70.647s       | 0.476           |    ...
115        | 71.262s       | 0.444           |    ...
116        | 71.877s       | 0.428           |    ...
117        | 72.504s       | 0.436           |    ...
118        | 73.120s       | 0.387           |    ...
119        | 73.735s       | 0.459           |    ...
120        | 74.339s       | 0.435           |    ...
121        | 74.966s       | 0.521           | ⬤ HIT (出球)
122        | 75.581s       | 0.459           |    ...
123        | 76.208s       | 0.441           |    ...
124        | 76.835s       | 0.489           |    ...
125        | 77.439s       | 0.430           |    ...
126        | 78.077s       | 0.511           | ⬤ HIT (出球)
127        | 78.704s       | 0.515           | ⬤ HIT (出球)
128        | 79.296s       | 0.420           |    ...
129        | 79.911s       | 0.434           |    ...
130        | 80.504s       | 0.601           | ⬤ HIT (出球)
131        | 81.131s       | 0.488           |    ...
132        | 81.723s       | 0.382           |    ...
133        | 82.373s       | 0.520           | ⬤ HIT (出球)
134        | 83.011s       | 0.513           | ⬤ HIT (出球)
136        | 83.870s       | 0.466           |    ...
137        | 84.521s       | 0.523           | ⬤ HIT (出球)
138        | 85.159s       | 0.431           |    ...
139        | 85.786s       | 0.521           | ⬤ HIT (出球)
140        | 86.401s       | 0.490           |    ...
141        | 87.028s       | 0.474           |    ...
142        | 87.632s       | 0.457           |    ...
143        | 88.271s       | 0.441           |    ...
144        | 88.886s       | 0.417           |    ...
145        | 89.490s       | 0.477           |    ...
146        | 90.128s       | 0.463           |    ...
147        | 90.720s       | 0.455           |    ...
148        | 91.336s       | 0.468           |    ...
149        | 91.974s       | 0.470           |    ...
150        | 92.601s       | 0.422           |    ...
151        | 93.240s       | 0.419           |    ...
152        | 93.843s       | 0.490           |    ...
153        | 94.459s       | 0.494           |    ...
154        | 95.051s       | 0.539           | ⬤ HIT (出球)
155        | 95.655s       | 0.486           |    ...
156        | 96.247s       | 0.568           | ⬤ HIT (出球)
157        | 96.827s       | 0.363           |    ...
158        | 97.350s       | 0.523           | ⬤ HIT (出球)
159        | 97.872s       | 0.469           |    ...
160        | 98.464s       | 0.487           |    ...
161        | 99.080s       | 0.480           |    ...
162        | 99.695s       | 0.467           |    ...
163        | 100.299s       | 0.450           |    ...
164        | 100.914s       | 0.465           |    ...
165        | 101.529s       | 0.471           |    ...
166        | 102.145s       | 0.516           | ⬤ HIT (出球)
