Index        | Time         | Strength        | Status
------------------------------------------------------------
1            | 0.697s       | 0.641           | ⬤ HIT
2            | 1.324s       | 0.363           | ⬤ HIT
3            | 1.939s       | 0.152           |    ...
4            | 2.554s       | 0.514           | ⬤ HIT
5            | 3.181s       | 0.235           |    ...
6            | 3.808s       | 0.236           |    ...
7            | 4.423s       | 0.251           |    ...
8            | 5.039s       | 0.192           |    ...
9            | 5.654s       | 0.236           |    ...
10           | 6.258s       | 0.210           |    ...
11           | 6.873s       | 0.441           | ⬤ HIT
12           | 7.512s       | 0.244           |    ...
13           | 8.127s       | 0.158           |    ...
14           | 8.742s       | 0.739           | ⬤ HIT
15           | 9.358s       | 0.338           | ⬤ HIT
16           | 9.985s       | 0.519           | ⬤ HIT
17           | 10.600s       | 0.988           | ⬤ HIT
18           | 11.215s       | 0.596           | ⬤ HIT
19           | 11.831s       | 0.639           | ⬤ HIT
20           | 12.469s       | 0.626           | ⬤ HIT
21           | 13.073s       | 0.570           | ⬤ HIT
22           | 13.711s       | 0.200           |    ...
23           | 14.327s       | 0.606           | ⬤ HIT
24           | 14.930s       | 0.185           |    ...
25           | 15.557s       | 0.112           |    ...
26           | 16.184s       | 0.362           | ⬤ HIT
27           | 16.800s       | 0.373           | ⬤ HIT
28           | 17.415s       | 0.451           | ⬤ HIT
29           | 18.030s       | 0.518           | ⬤ HIT
30           | 18.646s       | 0.072           |    ...
31           | 19.261s       | 0.280           |    ...
32           | 19.888s       | 0.484           | ⬤ HIT
33           | 20.503s       | 0.529           | ⬤ HIT
34           | 21.119s       | 0.592           | ⬤ HIT
35           | 21.745s       | 1.000           | ⬤ HIT
36           | 22.349s       | 0.176           |    ...
37           | 22.988s       | 0.338           | ⬤ HIT
38           | 23.591s       | 0.906           | ⬤ HIT
39           | 24.195s       | 0.311           |    ...
40           | 24.834s       | 0.585           | ⬤ HIT
41           | 25.426s       | 0.257           |    ...
42           | 26.053s       | 0.659           | ⬤ HIT
43           | 26.691s       | 0.390           | ⬤ HIT
44           | 27.295s       | 0.839           | ⬤ HIT
45           | 27.887s       | 0.140           |    ...
46           | 28.537s       | 0.205           |    ...
47           | 29.164s       | 0.585           | ⬤ HIT
48           | 29.791s       | 0.338           | ⬤ HIT
49           | 30.418s       | 0.180           |    ...
50           | 31.022s       | 0.574           | ⬤ HIT
51           | 31.626s       | 0.435           | ⬤ HIT
