拍數(Beat)   | 時間(Time)     | 強度(Strength)    | 狀態(Status)
------------------------------------------------------------
4          | 1.962s       | 0.000           |    ...
5          | 2.461s       | 0.854           | ⬤ HIT (出球)
6          | 2.961s       | 0.833           | ⬤ HIT (出球)
7          | 3.471s       | 0.752           |    ...
8          | 4.052s       | 0.788           |    ...
9          | 4.516s       | 0.829           | ⬤ HIT (出球)
10         | 4.981s       | 0.842           | ⬤ HIT (出球)
12         | 5.584s       | 0.849           | ⬤ HIT (出球)
13         | 6.072s       | 0.848           | ⬤ HIT (出球)
14         | 6.560s       | 0.783           |    ...
15         | 7.024s       | 0.849           | ⬤ HIT (出球)
16         | 7.488s       | 0.933           | ⬤ HIT (出球)
17         | 7.953s       | 0.728           |    ...
18         | 8.406s       | 0.935           | ⬤ HIT (出球)
19         | 8.858s       | 0.807           | ⬤ HIT (出球)
20         | 9.300s       | 0.938           | ⬤ HIT (出球)
20         | 9.741s       | 1.000           | ⬤ HIT (出球)
21         | 10.205s       | 0.737           |    ...
23         | 10.681s       | 0.832           | ⬤ HIT (出球)
24         | 11.157s       | 0.897           | ⬤ HIT (出球)
25         | 11.622s       | 0.800           | ⬤ HIT (出球)
26         | 12.098s       | 0.861           | ⬤ HIT (出球)
27         | 12.574s       | 0.798           |    ...
28         | 13.038s       | 0.818           | ⬤ HIT (出球)
29         | 13.526s       | 0.837           | ⬤ HIT (出球)
30         | 14.013s       | 0.759           |    ...
31         | 14.489s       | 0.850           | ⬤ HIT (出球)
32         | 15.000s       | 0.832           | ⬤ HIT (出球)
33         | 15.453s       | 0.783           |    ...
34         | 15.917s       | 0.638           |    ...
35         | 16.393s       | 0.770           |    ...
36         | 16.869s       | 0.691           |    ...
37         | 17.322s       | 0.713           |    ...
38         | 17.798s       | 0.720           |    ...
39         | 18.274s       | 0.571           |    ...
40         | 18.739s       | 0.622           |    ...
41         | 19.203s       | 0.748           |    ...
42         | 19.667s       | 0.622           |    ...
43         | 20.132s       | 0.740           |    ...
44         | 20.608s       | 0.619           |    ...
45         | 21.072s       | 0.695           |    ...
46         | 21.548s       | 0.653           |    ...
47         | 22.013s       | 0.626           |    ...
48         | 22.477s       | 0.621           |    ...
49         | 22.953s       | 0.600           |    ...
50         | 23.406s       | 0.593           |    ...
51         | 23.893s       | 0.671           |    ...
52         | 24.369s       | 0.791           |    ...
53         | 24.834s       | 0.619           |    ...
54         | 25.287s       | 0.821           | ⬤ HIT (出球)
55         | 25.763s       | 0.726           |    ...
56         | 26.239s       | 0.722           |    ...
57         | 26.703s       | 0.746           |    ...
58         | 27.167s       | 0.547           |    ...
59         | 27.643s       | 0.743           |    ...
60         | 28.108s       | 0.720           |    ...
61         | 28.584s       | 0.727           |    ...
62         | 29.048s       | 0.743           |    ...
63         | 29.513s       | 0.794           |    ...
64         | 29.977s       | 0.672           |    ...
65         | 30.441s       | 0.703           |    ...
66         | 30.929s       | 0.877           | ⬤ HIT (出球)
67         | 31.393s       | 0.641           |    ...
68         | 31.858s       | 0.701           |    ...
69         | 32.322s       | 0.691           |    ...
70         | 32.798s       | 0.890           | ⬤ HIT (出球)
71         | 33.274s       | 0.732           |    ...
72         | 33.727s       | 0.703           |    ...
73         | 34.191s       | 0.673           |    ...
74         | 34.667s       | 0.805           | ⬤ HIT (出球)
75         | 35.143s       | 0.806           | ⬤ HIT (出球)
76         | 35.608s       | 0.618           |    ...
77         | 36.072s       | 0.671           |    ...
78         | 36.537s       | 0.746           |    ...
79         | 37.024s       | 0.732           |    ...
80         | 37.477s       | 0.677           |    ...
81         | 37.941s       | 0.828           | ⬤ HIT (出球)
82         | 38.406s       | 0.702           |    ...
83         | 38.893s       | 0.791           |    ...
84         | 39.369s       | 0.622           |    ...
85         | 39.811s       | 0.662           |    ...
86         | 40.287s       | 0.735           |    ...
87         | 40.763s       | 0.756           |    ...
88         | 41.227s       | 0.694           |    ...
89         | 41.680s       | 0.764           |    ...
90         | 42.156s       | 0.841           | ⬤ HIT (出球)
91         | 42.632s       | 0.801           | ⬤ HIT (出球)
92         | 43.096s       | 0.717           |    ...
93         | 43.561s       | 0.707           |    ...
94         | 44.025s       | 0.769           |    ...
95         | 44.501s       | 0.773           |    ...
96         | 44.977s       | 0.711           |    ...
97         | 45.430s       | 0.699           |    ...
98         | 45.906s       | 0.802           | ⬤ HIT (出球)
99         | 46.370s       | 0.693           |    ...
100        | 46.846s       | 0.800           |    ...
101        | 47.311s       | 0.751           |    ...
102        | 47.775s       | 0.981           | ⬤ HIT (出球)
103        | 48.239s       | 0.628           |    ...
104        | 48.704s       | 0.817           | ⬤ HIT (出球)
105        | 49.180s       | 0.685           |    ...
106        | 49.644s       | 0.856           | ⬤ HIT (出球)
107        | 50.120s       | 0.721           |    ...
108        | 50.596s       | 0.730           |    ...
109        | 51.061s       | 0.888           | ⬤ HIT (出球)
110        | 51.525s       | 0.763           |    ...
111        | 52.001s       | 0.888           | ⬤ HIT (出球)
112        | 52.465s       | 0.773           |    ...
113        | 52.930s       | 0.731           |    ...
114        | 53.394s       | 0.748           |    ...
116        | 53.870s       | 0.793           |    ...
116        | 54.335s       | 0.704           |    ...
118        | 54.799s       | 0.660           |    ...
119        | 55.263s       | 0.711           |    ...
119        | 55.728s       | 0.786           |    ...
121        | 56.204s       | 0.641           |    ...
122        | 56.668s       | 0.832           | ⬤ HIT (出球)
123        | 57.133s       | 0.699           |    ...
124        | 57.609s       | 0.711           |    ...
125        | 58.073s       | 0.729           |    ...
126        | 58.549s       | 0.796           |    ...
127        | 59.014s       | 0.725           |    ...
128        | 59.490s       | 0.699           |    ...
129        | 59.954s       | 0.680           |    ...
130        | 60.418s       | 0.554           |    ...
131        | 60.883s       | 0.740           |    ...
132        | 61.359s       | 0.763           |    ...
133        | 61.823s       | 0.661           |    ...
134        | 62.288s       | 0.772           |    ...
135        | 62.752s       | 0.690           |    ...
136        | 63.228s       | 0.896           | ⬤ HIT (出球)
137        | 63.692s       | 0.713           |    ...
138        | 64.168s       | 0.803           | ⬤ HIT (出球)
139        | 64.633s       | 0.710           |    ...
140        | 65.097s       | 0.834           | ⬤ HIT (出球)
141        | 65.573s       | 0.710           |    ...
142        | 66.038s       | 0.678           |    ...
143        | 66.514s       | 0.724           |    ...
144        | 66.978s       | 0.857           | ⬤ HIT (出球)
145        | 67.466s       | 0.855           | ⬤ HIT (出球)
146        | 67.918s       | 0.732           |    ...
147        | 68.383s       | 0.776           |    ...
148        | 68.847s       | 0.798           |    ...
