Index        | Time         | Strength        | Status
------------------------------------------------------------
4            | 1.962s       | 0.273           |    ...
5            | 2.461s       | 0.061           |    ...
6            | 2.961s       | 0.068           |    ...
7            | 3.471s       | 0.459           | ⬤ HIT
9            | 4.052s       | 0.322           | ⬤ HIT
10           | 4.516s       | 0.060           |    ...
11           | 4.981s       | 0.324           | ⬤ HIT
12           | 5.584s       | 0.203           |    ...
13           | 6.072s       | 0.113           |    ...
14           | 6.560s       | 0.081           |    ...
15           | 7.024s       | 0.096           |    ...
16           | 7.488s       | 0.086           |    ...
17           | 7.953s       | 0.296           |    ...
18           | 8.406s       | 0.076           |    ...
19           | 8.858s       | 0.123           |    ...
20           | 9.300s       | 0.082           |    ...
21           | 9.741s       | 0.108           |    ...
22           | 10.205s       | 0.097           |    ...
23           | 10.681s       | 0.097           |    ...
24           | 11.157s       | 0.088           |    ...
25           | 11.622s       | 0.062           |    ...
26           | 12.098s       | 0.096           |    ...
27           | 12.574s       | 0.285           |    ...
28           | 13.038s       | 0.055           |    ...
29           | 13.526s       | 0.055           |    ...
30           | 14.013s       | 0.098           |    ...
31           | 14.489s       | 0.093           |    ...
32           | 15.000s       | 0.351           | ⬤ HIT
33           | 15.453s       | 0.220           |    ...
34           | 15.917s       | 0.490           | ⬤ HIT
35           | 16.393s       | 0.378           | ⬤ HIT
36           | 16.869s       | 0.223           |    ...
37           | 17.322s       | 0.391           | ⬤ HIT
38           | 17.798s       | 0.532           | ⬤ HIT
39           | 18.274s       | 0.481           | ⬤ HIT
40           | 18.739s       | 0.229           |    ...
41           | 19.203s       | 0.313           |    ...
42           | 19.667s       | 0.588           | ⬤ HIT
43           | 20.132s       | 0.750           | ⬤ HIT
44           | 20.608s       | 0.393           | ⬤ HIT
45           | 21.072s       | 0.449           | ⬤ HIT
46           | 21.548s       | 0.440           | ⬤ HIT
47           | 22.013s       | 0.549           | ⬤ HIT
48           | 22.477s       | 0.332           | ⬤ HIT
49           | 22.953s       | 0.250           |    ...
50           | 23.406s       | 0.469           | ⬤ HIT
51           | 23.893s       | 0.322           | ⬤ HIT
52           | 24.369s       | 0.198           |    ...
53           | 24.834s       | 0.463           | ⬤ HIT
54           | 25.287s       | 0.359           | ⬤ HIT
55           | 25.763s       | 0.175           |    ...
56           | 26.239s       | 0.334           | ⬤ HIT
58           | 26.703s       | 0.514           | ⬤ HIT
58           | 27.167s       | 0.295           |    ...
60           | 27.643s       | 0.206           |    ...
61           | 28.108s       | 0.273           |    ...
62           | 28.584s       | 0.118           |    ...
63           | 29.048s       | 0.268           |    ...
64           | 29.513s       | 0.108           |    ...
65           | 29.977s       | 0.343           | ⬤ HIT
66           | 30.441s       | 0.557           | ⬤ HIT
67           | 30.929s       | 0.236           |    ...
68           | 31.393s       | 0.190           |    ...
69           | 31.858s       | 0.395           | ⬤ HIT
70           | 32.322s       | 0.265           |    ...
71           | 32.798s       | 0.172           |    ...
72           | 33.274s       | 0.207           |    ...
73           | 33.727s       | 0.293           |    ...
74           | 34.191s       | 0.289           |    ...
75           | 34.667s       | 0.239           |    ...
76           | 35.143s       | 0.132           |    ...
77           | 35.608s       | 0.346           | ⬤ HIT
78           | 36.072s       | 0.153           |    ...
79           | 36.537s       | 0.400           | ⬤ HIT
80           | 37.024s       | 0.183           |    ...
81           | 37.477s       | 0.285           |    ...
82           | 37.941s       | 0.123           |    ...
83           | 38.406s       | 0.412           | ⬤ HIT
84           | 38.893s       | 0.203           |    ...
85           | 39.369s       | 0.301           |    ...
86           | 39.811s       | 0.262           |    ...
87           | 40.287s       | 0.194           |    ...
88           | 40.763s       | 0.258           |    ...
89           | 41.227s       | 0.320           | ⬤ HIT
90           | 41.680s       | 0.433           | ⬤ HIT
91           | 42.156s       | 0.343           | ⬤ HIT
92           | 42.632s       | 0.147           |    ...
93           | 43.096s       | 0.266           |    ...
94           | 43.561s       | 0.175           |    ...
95           | 44.025s       | 0.238           |    ...
96           | 44.501s       | 0.118           |    ...
97           | 44.977s       | 0.279           |    ...
98           | 45.430s       | 0.447           | ⬤ HIT
99           | 45.906s       | 0.196           |    ...
100          | 46.370s       | 0.158           |    ...
101          | 46.846s       | 0.161           |    ...
102          | 47.311s       | 0.158           |    ...
103          | 47.775s       | 0.223           |    ...
104          | 48.239s       | 0.160           |    ...
105          | 48.704s       | 0.198           |    ...
106          | 49.180s       | 0.397           | ⬤ HIT
107          | 49.644s       | 0.405           | ⬤ HIT
108          | 50.120s       | 0.210           |    ...
109          | 50.596s       | 0.230           |    ...
110          | 51.061s       | 0.172           |    ...
111          | 51.525s       | 0.187           |    ...
112          | 52.001s       | 0.229           |    ...
113          | 52.465s       | 0.191           |    ...
114          | 52.930s       | 0.125           |    ...
115          | 53.394s       | 0.203           |    ...
116          | 53.870s       | 0.187           |    ...
117          | 54.335s       | 0.204           |    ...
118          | 54.799s       | 0.271           |    ...
119          | 55.263s       | 0.564           | ⬤ HIT
120          | 55.728s       | 0.389           | ⬤ HIT
121          | 56.204s       | 0.360           | ⬤ HIT
122          | 56.668s       | 0.401           | ⬤ HIT
123          | 57.133s       | 0.228           |    ...
124          | 57.609s       | 0.303           |    ...
125          | 58.073s       | 0.322           | ⬤ HIT
126          | 58.549s       | 0.386           | ⬤ HIT
127          | 59.014s       | 0.309           |    ...
128          | 59.490s       | 0.413           | ⬤ HIT
129          | 59.954s       | 0.202           |    ...
130          | 60.418s       | 0.508           | ⬤ HIT
131          | 60.883s       | 0.151           |    ...
132          | 61.359s       | 0.138           |    ...
133          | 61.823s       | 0.320           | ⬤ HIT
134          | 62.288s       | 0.357           | ⬤ HIT
135          | 62.752s       | 0.443           | ⬤ HIT
136          | 63.228s       | 0.281           |    ...
137          | 63.692s       | 0.295           |    ...
138          | 64.168s       | 0.296           |    ...
139          | 64.633s       | 0.285           |    ...
140          | 65.097s       | 0.269           |    ...
141          | 65.573s       | 0.207           |    ...
142          | 66.038s       | 0.413           | ⬤ HIT
143          | 66.514s       | 0.231           |    ...
144          | 66.978s       | 0.116           |    ...
145          | 67.466s       | 0.099           |    ...
146          | 67.918s       | 0.069           |    ...
147          | 68.383s       | 0.207           |    ...
148          | 68.847s       | 0.246           |    ...
149          | 69.323s       | 0.171           |    ...
